ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
012603522|0|0|F||Y|N|CDCI|2014-05-07 16:41:26.0|CDCI|2014-05-07 16:41:26.0|1||0|0||01
012574402|0|0|F||Y|N|CDCI|2014-04-27 14:47:32.0|CDCI|2014-04-27 14:47:31.0|1||0|0||01
012896110|0|0|F||Y|N|CDCI|2014-12-24 13:47:39.0|CDCI|2014-12-24 13:47:38.0|1||0|0||01
012567750|0|0|F||Y|N|CDCI|2014-04-27 10:55:00.0|CDCI|2014-04-27 10:55:00.0|1||0|0||01
012567752|0|0|F||Y|N|CDCI|2014-04-27 10:55:04.0|CDCI|2014-04-27 10:55:04.0|1||0|0||01
012588271|0|0|F||Y|N|CDCI|2014-04-29 20:21:46.0|CDCI|2014-04-29 20:21:46.0|1||0|0||01
012537594|0|0|F||Y|N|CDCI|2014-04-26 10:35:00.0|CDCI|2014-04-26 10:35:00.0|1||0|0||01
012537603|0|0|F||Y|N|CDCI|2014-04-26 10:35:12.0|CDCI|2014-04-26 10:35:12.0|1||0|0||01
012537597|0|0|F||Y|N|CDCI|2014-04-26 10:35:05.0|CDCI|2014-04-26 10:35:05.0|1||0|0||01
012554095|0|0|F||Y|N|CDCI|2014-04-26 20:25:20.0|CDCI|2014-04-26 20:25:20.0|1||0|0||01
012554101|0|0|F||Y|N|CDCI|2014-04-26 20:25:29.0|CDCI|2014-04-26 20:25:29.0|1||0|0||01
012581904|0|0|F||Y|N|CDCI|2014-04-29 16:32:45.0|CDCI|2014-04-29 16:32:44.0|1||0|0||01
012554180|0|0|F||Y|N|CDCI|2014-04-26 20:28:40.0|CDCI|2014-04-26 20:28:39.0|1||0|0||01
012554042|0|0|F||Y|N|CDCI|2014-04-26 20:23:15.0|CDCI|2014-04-26 20:23:14.0|1||0|0||01
012581564|0|0|F||Y|N|CDCI|2014-04-29 16:20:19.0|CDCI|2014-04-29 16:20:19.0|1||0|0||01
012581665|0|0|F||Y|N|CDCI|2014-04-29 16:24:28.0|CDCI|2014-04-29 16:24:27.0|1||0|0||01
012567733|0|0|F||Y|N|CDCI|2014-04-27 10:54:13.0|CDCI|2014-04-27 10:54:13.0|1||0|0||01
012567580|0|0|F||Y|N|CDCI|2014-04-27 10:47:42.0|CDCI|2014-04-27 10:47:42.0|1||0|0||01
